CO_CURSO,NO_CURSO,,,
1,DIREITO,,,
2,CIENCIASECONOMICAS,,,
3,ENGENHARIACIVIL,,,
6,PEDAGOGIA,,,
7,SERVICOSOCIAL,,,
8,CIENCIASCONTABEIS,,,
9,AGRONOMIA,,,
10,ENGENHARIAFLORESTAL,,,
12,HISTORIA,,,
13,ADMINISTRACAO,,,
15,GEOLOGIA,,,
16,ENGENHARIAELETRICA,,,
17,ENFERMAGEM,,,
19,FARMACIA,,,
20,NUTRICAO,,,
21,CIENCIASCONTABEIS,,,
23,PEDAGOGIA,,,
24,GEOGRAFIA,,,
25,HISTORIA,,,
26,MATEMATICA,,,
27,FISICA,,,
29,CIENCIASBIOLOGICAS,,,
32,CIENCIASBIOLOGICAS,,,
34,MATEMATICA,,,
36,CIENCIADACOMPUTACAO,,,
37,MEDICINAVETERINARIA,,,
44,ARQUITETURAEURBANISMO,,,
18354,MATEMATICA,,,
21442,FARMACIA,,,
22118,LETRASPORTUGUESEINGLES,,,
22837,LETRAS-LINGUAPORTUGUESA,,,
25902,LETRASPORTUGUESEFRANCES,,,
25903,LETRAS-PORTUGUESELITERATURAS,,,
25949,LETRAS-LINGUAPORTUGUESA,,,
26025,LETRASPORTUGUESEESPANHOLERESPECTIVASLITERATURAS,,,
31373,COMUNICACAOSOCIAL-RADIALISMO,,,
41673,BIBLIOTECONOMIA,,,
41687,INFORMATICA,,,
41690,CIENCIASBIOLOGICAS,,,
62906,HISTORIA,,,
62936,JORNALISMO,,,
62940,COMUNICACAOSOCIAL-PUBLICIDADEEPROPAGANDA,,,
84854,PSICOLOGIA,,,
94331,MUSICA,,,
100763,MEDICINAVETERINARIA,,,
100768,ENGENHARIAFLORESTAL,,,
100770,HISTORIA,,,
100772,ZOOTECNIA,,,
100775,CIENCIASNATURAISEMATEMATICA-MATEMATICA,,,
100776,CIENCIASNATURAISEMATEMATICA-QUIMICA,,,
100777,CIENCIASNATURAISEMATEMATICA-FISICA,,,
100778,AGRONOMIA,,,
100800,ENGENHARIAAGRICOLAEAMBIENTAL,,,
100802,ENGENHARIAMECANICA,,,
100804,ENFERMAGEM,,,
100920,ENGENHARIADEALIMENTOS,,,
100928,ENFERMAGEM,,,
101054,LETRAS-LINGUAELITERATURASDELINGUAINGLESA,,,
101184,FISICA,,,
105652,PEDAGOGIA,,,
105654,ADMINISTRACAO,,,
106050,QUIMICA,,,
106052,EDUCACAOFISICA,,,
112770,ENGENHARIASANITARIAEAMBIENTAL,,,
112846,CIENCIADACOMPUTACAO,,,
114386,CIENCIASNATURAISEMATEMATICA,,,
116550,CIENCIAETECNOLOGIADEALIMENTOS,,,
116560,GEOGRAFIA,,,
116648,BIOMEDICINA,,,
116662,AGRONOMIA,,,
116690,GEOGRAFIA,,,
116708,JORNALISMO,,,
116720,FARMACIA,,,
116736,ENGENHARIAAGRICOLAEAMBIENTAL,,,
117004,PSICOLOGIA,,,
118002,SISTEMASDEINFORMACAO,,,
123007,ESTATISTICA,,,
123011,SAUDECOLETIVA,,,
123013,FISICA,,,
123052,CIENCIASECONOMICAS,,,
123055,ENGENHARIACIVIL,,,
123427,DIREITO,,,
123620,ZOOTECNIA,,,
1103426,GEOGRAFIA,,,
1103701,CIENCIASSOCIAIS,,,
1103708,FILOSOFIA,,,
1103709,FILOSOFIA,,,
1103710,HISTORIA,,,
1103711,QUIMICA,,,
1103712,QUIMICA,,,
1103742,CIENCIASSOCIAIS,,,
1113617,ADMINISTRACAOPUBLICA,,,
1127343,ADMINISTRACAO,,,
1128077,SISTEMASDEINFORMACAO,,,
1168551,EDUCACAOFISICA,,,
1188880,CIENCIASBIOLOGICAS,,,
1202779,MUSICA-CANTO,,,
1202829,MUSICA-CLARINETE,,,
1202855,MUSICA-COMPOSICAO,,,
1202871,LETRAS-PORTUGUESEINGLES,,,
1202899,LETRAS-PORTUGUESEESPANHOL,,,
1203359,MUSICA-VIOLINO,,,
1203399,MUSICA-VIOLAO,,,
1204146,MUSICA-REGENCIA,,,
1205603,LETRAS-LIBRAS,,,
1261971,MEDICINA,,,
1261972,MEDICINA,,,
1270010,ENGENHARIAQUIMICA,,,
1270017,ENGENHARIADETRANSPORTES,,,
1270037,ENGENHARIADEMINAS,,,
1270057,ENGENHARIADECONTROLEEAUTOMACAO,,,
1270062,ENGENHARIADECOMPUTACAO,,,
1285517,CIENCIASBIOLOGICAS,,,
1357965,MATEMATICA,,,
1420159,CINEMAEAUDIOVISUAL,,,
1425400,LICENCIATURAEMTECNOLOGIAEDUCACIONAL,,,
116,GEOLOGIA,,,
119,ESTATISTICA,,,
122,CIENCIASECONOMICAS,,,
126,SERVICOSOCIAL,,,
127,CIENCIADACOMPUTACAO,,,
128,RELACÕESINTERNACIONAIS,,,
132,ARQUITETURAEURBANISMO,,,
133,MUSICA,,,
134,EDUCACAOARTISTICA,,,
135,AGRONOMIA,,,
136,ENGENHARIACIVIL,,,
137,ENGENHARIAELETRICA,,,
138,ENGENHARIAMECANICA,,,
139,ENGENHARIAFLORESTAL,,,
140,MEDICINA,,,
141,ODONTOLOGIA,,,
142,EDUCACAOFISICA,,,
143,ENFERMAGEM,,,
144,NUTRICAO,,,
145,ADMINISTRACAO,,,
146,BIBLIOTECONOMIA,,,
148,DIREITO,,,
149,CIENCIASCONTABEIS,,,
150,PEDAGOGIA,,,
151,ARTESPLASTICAS,,,
